	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	10.5	0.0672	1.44	7.76	10.4	13.3	462.0	0.0876	1.01
b1_mu[2]	11.3	0.0567	1.38	8.68	11.2	14.1	594.0	0.113	1.0
b2_mu[1]	9.21	0.0385	1.14	7.01	9.17	11.6	870.0	0.165	1.0
b2_mu[2]	9.62	0.0442	1.24	7.34	9.52	12.1	793.0	0.15	1.0
b3_mu[1]	4.61	0.0193	0.568	3.51	4.58	5.78	870.0	0.165	1.0
b3_mu[2]	4.81	0.0221	0.622	3.67	4.76	6.06	793.0	0.15	1.0
b4_mu[1]	0.803	0.00305	0.0879	0.619	0.802	0.968	829.0	0.157	1.01
b4_mu[2]	0.637	0.00278	0.087	0.46	0.635	0.799	982.0	0.186	1.01
a1_mu[1]	0.514	0.000154	0.00563	0.502	0.514	0.525	1336.0	0.253	1.0
a1_mu[2]	0.507	0.000162	0.00566	0.495	0.507	0.518	1214.0	0.23	1.0
a2_mu[1]	0.142	0.00126	0.0275	0.0911	0.14	0.197	476.0	0.0902	1.0
a2_mu[2]	0.157	0.00108	0.0263	0.109	0.156	0.21	596.0	0.113	1.0
sigma[1,1]	0.599	0.00387	0.0876	0.44	0.592	0.78	513.0	0.0972	1.0
sigma[2,1]	0.568	0.00226	0.0816	0.417	0.563	0.733	1305.0	0.247	1.0
sigma[3,1]	0.136	0.000318	0.0121	0.114	0.136	0.161	1448.0	0.274	1.0
sigma[4,1]	0.104	0.000257	0.0097	0.0859	0.104	0.123	1429.0	0.271	1.0
sigma[5,1]	0.52	0.00241	0.0676	0.386	0.516	0.654	788.0	0.149	1.01
sigma[6,1]	0.731	0.00287	0.0857	0.57	0.727	0.905	889.0	0.169	1.0
sigma[1,2]	0.158	0.00712	0.0805	0.00985	0.161	0.302	128.0	0.0242	1.02
sigma[2,2]	0.138	0.00299	0.0535	0.0212	0.138	0.237	321.0	0.0607	1.02
sigma[3,2]	0.0673	0.00018	0.00821	0.0516	0.067	0.0833	2078.0	0.394	1.0
sigma[4,2]	0.0551	0.000154	0.00718	0.0413	0.0548	0.0693	2182.0	0.414	1.0
sigma[5,2]	0.171	0.0072	0.072	0.0103	0.187	0.275	99.9	0.0189	1.03
sigma[6,2]	0.242	0.00314	0.0575	0.11	0.243	0.345	335.0	0.0634	1.02
b1[1,1]	6.13	0.124	5.2	-0.485	4.79	18.2	1751.0	0.332	1.0
b1[2,1]	8.4	0.104	4.85	2.0	7.37	19.4	2176.0	0.412	1.0
b1[1,2]	9.74	0.0962	4.6	3.2	8.89	20.3	2285.0	0.433	1.0
b1[2,2]	10.7	0.0868	4.6	3.76	10.0	21.1	2817.0	0.534	1.0
b1[1,3]	18.0	0.0692	4.42	9.74	17.6	27.3	4085.0	0.774	1.0
b1[2,3]	18.2	0.0852	4.54	9.95	17.8	27.6	2841.0	0.538	1.0
b1[1,4]	7.32	0.104	5.02	0.165	6.32	18.4	2353.0	0.446	1.0
b1[2,4]	7.38	0.103	5.07	0.571	6.31	18.9	2441.0	0.463	1.0
b1[1,5]	9.28	0.0654	3.14	4.3	8.8	16.4	2308.0	0.437	0.999
b1[2,5]	9.52	0.0581	2.99	4.92	9.07	16.3	2639.0	0.5	1.0
b1[1,6]	9.13	0.0788	3.0	4.61	8.66	16.1	1448.0	0.274	1.0
b1[2,6]	6.93	0.128	3.09	3.04	6.2	14.5	580.0	0.11	1.01
b1[1,7]	10.1	0.0766	3.8	4.02	9.64	18.2	2457.0	0.466	1.0
b1[2,7]	9.59	0.0641	3.56	4.42	8.98	17.7	3092.0	0.586	1.0
b1[1,8]	12.3	0.209	5.26	3.65	11.9	23.3	633.0	0.12	1.0
b1[2,8]	15.4	0.0737	4.55	7.68	14.9	25.1	3803.0	0.721	1.0
b1[1,9]	17.7	0.0659	4.34	9.98	17.3	26.6	4340.0	0.822	1.0
b1[2,9]	17.1	0.124	4.53	9.2	16.7	26.6	1332.0	0.252	1.0
b1[1,10]	8.24	0.0295	2.05	4.74	8.04	12.6	4804.0	0.911	1.0
b1[2,10]	8.11	0.0303	2.02	4.5	7.94	12.3	4419.0	0.838	1.0
b1[1,11]	16.5	0.0672	4.38	8.73	16.2	25.5	4242.0	0.804	1.0
b1[2,11]	15.0	0.159	4.64	6.96	14.5	24.9	854.0	0.162	1.01
b1[1,12]	7.26	0.0987	4.54	1.53	6.09	17.8	2110.0	0.4	1.0
b1[2,12]	8.29	0.0939	4.57	2.11	7.34	19.0	2371.0	0.449	1.0
b1[1,13]	7.32	0.114	4.76	1.44	6.11	18.3	1736.0	0.329	1.0
b1[2,13]	6.72	0.129	5.08	0.563	5.46	18.4	1552.0	0.294	1.0
b1[1,14]	11.7	0.252	5.68	3.07	11.0	23.6	509.0	0.0965	1.01
b1[2,14]	15.3	0.083	4.8	7.13	14.9	25.5	3350.0	0.635	1.0
b1[1,15]	5.5	0.11	5.02	-0.747	4.06	17.4	2069.0	0.392	1.0
b1[2,15]	7.4	0.0992	4.76	1.16	6.31	18.6	2300.0	0.436	1.0
b1[1,16]	12.2	0.0684	3.94	5.96	11.7	21.0	3322.0	0.63	1.0
b1[2,16]	12.6	0.0633	3.81	6.42	12.1	20.9	3614.0	0.685	1.0
b1[1,17]	8.29	0.0911	4.7	1.88	7.43	18.9	2656.0	0.503	1.0
b1[2,17]	9.14	0.0916	4.65	2.42	8.37	19.6	2575.0	0.488	1.0
b1[1,18]	15.0	0.195	4.83	7.17	14.4	25.7	614.0	0.116	1.0
b1[2,18]	10.2	0.65	8.08	0.31	10.1	25.5	155.0	0.0293	1.01
b1[1,19]	9.57	0.14	5.03	2.3	8.7	20.8	1283.0	0.243	1.0
b1[2,19]	12.2	0.0902	4.71	4.94	11.5	22.4	2730.0	0.517	1.0
b1[1,20]	16.5	0.0683	4.48	8.87	16.0	26.1	4305.0	0.816	1.0
b1[2,20]	16.0	0.11	4.69	8.07	15.5	25.9	1816.0	0.344	1.0
b1[1,21]	10.4	0.0996	4.96	2.78	9.61	20.8	2479.0	0.47	1.0
b1[2,21]	11.8	0.0952	4.85	4.3	11.1	22.1	2593.0	0.491	1.0
b1[1,22]	6.52	0.0926	3.71	1.64	5.73	15.4	1600.0	0.303	1.0
b1[2,22]	8.72	0.0755	3.39	3.92	8.04	16.9	2017.0	0.382	1.0
b1[1,23]	16.0	0.068	4.06	8.96	15.7	24.7	3562.0	0.675	1.0
b1[2,23]	16.3	0.0701	4.08	9.13	15.9	25.0	3393.0	0.643	1.0
b1[1,24]	11.0	0.102	4.77	3.28	10.4	21.2	2181.0	0.413	1.0
b1[2,24]	12.6	0.0814	4.62	5.17	12.1	22.4	3226.0	0.611	1.0
b1[1,25]	6.56	0.105	4.54	0.889	5.42	17.0	1888.0	0.358	1.0
b1[2,25]	8.44	0.0982	4.55	2.46	7.42	19.1	2151.0	0.408	1.0
b1[1,26]	13.7	0.0751	4.17	6.68	13.3	22.8	3088.0	0.585	1.0
b1[2,26]	14.5	0.0651	4.01	7.82	14.1	23.4	3792.0	0.719	0.999
b1[1,27]	9.12	0.0989	4.75	2.1	8.24	19.4	2304.0	0.437	1.0
b1[2,27]	9.44	0.0949	4.78	2.13	8.71	19.6	2533.0	0.48	1.0
b1[1,28]	8.19	0.0979	5.05	0.442	7.63	19.1	2656.0	0.503	1.0
b1[2,28]	9.09	0.0985	5.01	1.55	8.33	20.0	2587.0	0.49	1.0
b1[1,29]	5.77	0.119	4.93	-0.427	4.43	17.3	1713.0	0.325	1.0
b1[2,29]	6.64	0.119	4.95	0.221	5.37	18.4	1742.0	0.33	1.0
b1[1,30]	4.45	0.0928	3.56	0.847	3.25	14.0	1475.0	0.28	1.0
b1[2,30]	6.44	0.0949	3.58	2.18	5.42	15.1	1423.0	0.27	1.0
b1[1,31]	9.05	0.389	6.16	1.1	7.75	22.1	251.0	0.0475	1.01
b1[2,31]	13.5	0.104	4.66	6.33	12.9	23.4	2019.0	0.383	1.0
b1[1,32]	9.02	0.119	4.89	1.76	8.24	20.1	1681.0	0.319	1.0
b1[2,32]	11.3	0.0792	4.57	4.26	10.6	21.4	3338.0	0.633	1.0
b1[1,33]	14.1	0.0653	4.04	7.42	13.6	22.8	3826.0	0.725	1.0
b1[2,33]	11.9	0.21	4.75	4.69	11.2	22.5	514.0	0.0973	1.01
b1[1,34]	11.9	0.0832	4.47	4.81	11.3	21.6	2889.0	0.548	1.0
b1[2,34]	12.6	0.0827	4.59	5.21	12.1	22.5	3080.0	0.584	1.0
b1[1,35]	13.4	0.0628	3.8	7.17	13.0	21.5	3658.0	0.693	1.0
b1[2,35]	11.6	0.209	4.67	4.0	11.2	21.3	499.0	0.0946	1.0
b1[1,36]	14.7	0.0819	4.47	7.24	14.1	24.1	2983.0	0.565	1.0
b1[2,36]	16.2	0.0671	4.36	8.77	15.7	25.5	4217.0	0.799	1.0
b1[1,37]	13.3	0.216	4.84	5.55	12.8	23.7	503.0	0.0953	1.01
b1[2,37]	16.7	0.0645	4.23	9.19	16.3	25.8	4315.0	0.818	1.0
b1[1,38]	11.1	0.0883	4.41	4.51	10.4	20.8	2498.0	0.473	1.0
b1[2,38]	12.2	0.0801	4.45	5.02	11.7	21.9	3095.0	0.586	1.0
b1[1,39]	20.0	0.0715	4.6	12.0	19.6	29.6	4138.0	0.784	0.999
b1[2,39]	19.5	0.128	4.86	10.9	19.1	29.6	1448.0	0.274	1.0
b1[1,40]	7.57	0.0461	1.75	4.45	7.43	11.2	1443.0	0.273	1.0
b1[2,40]	5.82	0.0572	1.96	2.63	5.56	9.99	1178.0	0.223	1.0
b1[1,41]	10.2	0.152	4.61	3.08	9.53	20.1	916.0	0.174	1.0
b1[2,41]	13.0	0.0719	4.34	5.72	12.5	22.2	3648.0	0.691	1.0
b1[1,42]	11.2	0.0691	3.7	5.16	10.7	19.5	2875.0	0.545	1.0
b1[2,42]	12.3	0.0597	3.57	6.34	11.8	20.2	3573.0	0.677	1.0
b1[1,43]	5.92	0.109	4.65	0.454	4.68	16.7	1806.0	0.342	1.0
b1[2,43]	7.54	0.105	4.59	1.86	6.35	18.2	1900.0	0.36	1.0
b1[1,44]	8.49	0.103	4.7	1.76	7.66	18.8	2093.0	0.397	1.0
b1[2,44]	6.97	0.165	5.3	0.395	5.81	18.9	1034.0	0.196	1.0
b1[1,45]	14.4	0.0786	4.6	6.42	13.9	24.2	3420.0	0.648	1.0
b1[2,45]	14.9	0.0843	4.74	6.71	14.4	24.6	3161.0	0.599	1.0
b1[1,46]	8.05	0.1	4.88	0.431	7.26	18.5	2372.0	0.45	1.0
b1[2,46]	9.27	0.0882	4.69	2.62	8.39	19.8	2821.0	0.535	1.0
b1[1,47]	7.18	0.0997	4.37	1.49	6.17	17.2	1918.0	0.364	1.0
b1[2,47]	9.44	0.0864	4.23	3.63	8.55	19.2	2395.0	0.454	1.0
b1[1,48]	7.92	0.0954	4.9	0.731	7.07	19.0	2642.0	0.501	1.0
b1[2,48]	8.5	0.0922	4.82	1.95	7.51	19.3	2728.0	0.517	1.0
b1[1,49]	9.68	0.175	5.09	2.35	8.86	20.8	841.0	0.159	1.0
b1[2,49]	12.9	0.0805	4.61	5.43	12.3	23.1	3273.0	0.62	1.0
b1[1,50]	5.52	0.108	4.32	0.969	3.97	16.2	1591.0	0.301	1.0
b1[2,50]	4.68	0.124	4.7	-0.384	2.94	16.5	1427.0	0.27	1.0
b1[1,51]	8.23	0.0784	3.64	3.45	7.31	16.8	2158.0	0.409	1.0
b1[2,51]	8.49	0.0849	4.07	3.09	7.56	18.0	2302.0	0.436	1.0
b1[1,52]	13.1	0.0536	3.35	7.38	12.7	20.2	3911.0	0.741	1.0
b1[2,52]	13.1	0.0617	3.6	7.02	12.6	20.8	3409.0	0.646	1.0
b1[1,53]	3.13	0.121	5.0	-3.53	1.49	15.4	1702.0	0.322	1.0
b1[2,53]	4.42	0.113	4.89	-2.24	3.01	16.3	1865.0	0.353	1.0
b1[1,54]	9.34	0.0903	4.73	2.22	8.61	20.1	2746.0	0.52	1.0
b1[2,54]	8.35	0.14	5.18	0.72	7.51	19.6	1378.0	0.261	1.0
b1[1,55]	20.8	0.076	4.79	11.9	20.6	30.4	3973.0	0.753	1.0
b1[2,55]	20.7	0.0953	4.74	12.2	20.4	30.4	2470.0	0.468	1.0
b1[1,56]	9.7	0.0904	4.41	3.53	8.82	19.6	2380.0	0.451	1.0
b1[2,56]	8.3	0.145	4.8	2.15	7.06	19.5	1090.0	0.207	1.0
b1[1,57]	3.5	0.176	5.54	-4.28	1.87	16.4	993.0	0.188	1.0
b1[2,57]	6.33	0.101	4.62	0.53	5.05	17.3	2075.0	0.393	1.0
b1[1,58]	6.57	0.526	7.18	-2.0	4.3	21.5	186.0	0.0353	1.01
b1[2,58]	12.0	0.169	4.79	4.76	11.2	22.6	803.0	0.152	1.0
b1[1,59]	5.62	0.105	4.5	0.367	4.24	16.5	1851.0	0.351	1.0
b1[2,59]	4.89	0.126	4.8	-0.34	2.98	16.9	1451.0	0.275	1.0
b1[1,60]	21.6	0.0891	4.86	12.8	21.2	31.7	2972.0	0.563	1.0
b1[2,60]	22.5	0.0844	4.94	13.6	22.1	32.6	3426.0	0.649	1.0
b1[1,61]	9.58	0.0463	2.69	5.09	9.24	15.5	3380.0	0.641	1.0
b1[2,61]	9.99	0.0361	2.44	5.63	9.79	15.0	4565.0	0.865	1.0
b1[1,62]	7.65	0.0964	4.86	0.902	6.71	18.7	2539.0	0.481	1.0
b1[2,62]	7.19	0.102	4.98	0.77	6.16	18.7	2391.0	0.453	1.0
b1[1,63]	8.55	0.134	5.08	1.24	7.71	20.2	1426.0	0.27	1.0
b1[2,63]	10.7	0.0943	4.93	3.12	9.95	21.6	2730.0	0.517	1.0
b1[1,64]	8.9	0.138	5.1	1.06	8.23	20.1	1373.0	0.26	1.0
b1[2,64]	11.1	0.0924	4.78	3.79	10.4	21.6	2683.0	0.508	1.0
b1[1,65]	14.8	0.114	5.02	6.42	14.3	25.2	1920.0	0.364	1.0
b1[2,65]	16.4	0.0828	4.91	7.81	15.9	26.4	3517.0	0.667	1.0
b1[1,66]	9.55	0.135	4.45	3.37	8.63	19.8	1092.0	0.207	1.0
b1[2,66]	12.4	0.0857	4.24	5.58	11.9	21.9	2456.0	0.465	1.0
b1[1,67]	8.74	0.0724	3.04	4.61	8.17	16.2	1761.0	0.334	1.0
b1[2,67]	9.72	0.0685	3.28	4.91	9.1	17.5	2291.0	0.434	1.0
b1[1,68]	14.9	0.184	5.26	6.09	14.2	26.1	815.0	0.154	1.0
