	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	14.0	0.104	2.01	10.4	13.8	18.2	370.0	0.0428	1.01
b1_mu[2]	14.9	0.075	1.89	11.5	14.7	18.9	638.0	0.0738	1.01
b2_mu[1]	14.2	0.0581	1.82	10.9	14.0	18.0	978.0	0.113	1.0
b2_mu[2]	15.7	0.074	2.08	11.8	15.5	19.8	786.0	0.091	1.0
b3_mu[1]	1.14	0.00461	0.136	0.875	1.14	1.4	864.0	0.1	1.01
b3_mu[2]	0.856	0.0044	0.126	0.601	0.855	1.1	815.0	0.0943	1.01
b4_mu[1]	0.272	0.0031	0.1	0.0676	0.271	0.461	1050.0	0.122	1.0
b4_mu[2]	0.13	0.00293	0.0954	-0.0617	0.131	0.309	1061.0	0.123	1.01
a1_mu[1]	0.182	0.00191	0.0334	0.12	0.181	0.249	308.0	0.0357	1.01
a1_mu[2]	0.175	0.00114	0.0278	0.124	0.174	0.23	592.0	0.0685	1.01
a2_mu[1]	0.199	0.00146	0.0358	0.133	0.197	0.27	600.0	0.0694	1.01
a2_mu[2]	0.141	0.00128	0.0298	0.0877	0.138	0.202	540.0	0.0625	1.01
c1_mu[1]	0.0729	0.00076	0.0222	0.0315	0.0711	0.118	851.0	0.0985	1.0
c1_mu[2]	0.0398	0.000503	0.0148	0.0144	0.0382	0.0713	860.0	0.0996	1.0
sigma[1,1]	0.78	0.00454	0.121	0.561	0.771	1.04	708.0	0.0819	1.02
sigma[2,1]	0.838	0.00376	0.136	0.593	0.828	1.12	1306.0	0.151	1.0
sigma[3,1]	0.186	0.00059	0.0194	0.149	0.184	0.226	1084.0	0.125	1.0
sigma[4,1]	0.139	0.000433	0.0147	0.111	0.139	0.169	1152.0	0.133	1.0
sigma[5,1]	0.496	0.00417	0.0838	0.322	0.495	0.652	405.0	0.0468	1.01
sigma[6,1]	0.798	0.00293	0.0937	0.623	0.794	0.99	1024.0	0.119	1.0
sigma[7,1]	1.94	0.00788	0.254	1.49	1.92	2.47	1037.0	0.12	1.0
sigma[1,2]	0.216	0.00821	0.104	0.0144	0.221	0.405	161.0	0.0187	1.04
sigma[2,2]	0.135	0.00698	0.104	0.00491	0.113	0.366	221.0	0.0256	1.02
sigma[3,2]	0.0822	0.000337	0.0124	0.0579	0.0818	0.106	1346.0	0.156	1.0
sigma[4,2]	0.0701	0.000275	0.0102	0.0506	0.0697	0.0911	1382.0	0.16	1.0
sigma[5,2]	0.167	0.00777	0.0804	0.0131	0.176	0.296	107.0	0.0124	1.04
sigma[6,2]	0.224	0.00334	0.0616	0.0817	0.225	0.332	339.0	0.0392	1.01
sigma[7,2]	0.686	0.00489	0.144	0.423	0.674	0.979	872.0	0.101	1.01
b1[1,1]	7.69	0.21	6.77	-0.603	5.98	23.6	1039.0	0.12	1.01
b1[2,1]	10.7	0.155	6.37	2.36	9.2	25.5	1693.0	0.196	1.0
b1[1,2]	12.9	0.135	6.06	3.91	12.0	26.6	2017.0	0.233	1.0
b1[2,2]	14.1	0.134	6.08	4.75	13.1	27.7	2069.0	0.239	1.0
b1[1,3]	22.0	0.111	5.9	11.3	21.6	34.0	2831.0	0.328	1.0
b1[2,3]	22.5	0.12	6.14	11.7	21.9	35.0	2642.0	0.306	1.0
b1[1,4]	10.8	0.147	6.93	0.0436	9.74	25.9	2211.0	0.256	1.0
b1[2,4]	11.3	0.156	7.19	0.384	10.3	27.2	2129.0	0.246	1.0
b1[1,5]	12.4	0.106	4.84	5.03	11.8	23.3	2091.0	0.242	1.0
b1[2,5]	13.2	0.114	5.2	5.45	12.3	25.0	2081.0	0.241	1.0
b1[1,6]	11.4	0.116	4.52	4.96	10.5	21.9	1509.0	0.175	1.0
b1[2,6]	8.12	0.188	4.6	3.1	6.81	19.6	602.0	0.0697	1.01
b1[1,7]	13.8	0.122	5.24	5.2	13.2	25.2	1849.0	0.214	1.0
b1[2,7]	11.9	0.115	5.04	5.0	10.9	24.0	1921.0	0.222	1.0
b1[1,8]	20.4	0.138	6.64	7.86	19.8	34.4	2322.0	0.269	1.0
b1[2,8]	20.5	0.139	6.39	9.81	19.8	34.2	2111.0	0.244	1.01
b1[1,9]	21.3	0.107	5.71	11.6	20.6	33.5	2839.0	0.329	1.0
b1[2,9]	20.5	0.132	5.91	10.4	19.9	33.0	2006.0	0.232	1.0
b1[1,10]	9.0	0.0456	2.54	4.93	8.69	14.4	3116.0	0.361	1.0
b1[2,10]	8.64	0.0432	2.5	4.56	8.35	13.9	3355.0	0.388	1.0
b1[1,11]	20.1	0.113	5.77	10.1	19.7	32.0	2627.0	0.304	0.999
b1[2,11]	17.9	0.176	6.08	7.75	17.1	30.7	1188.0	0.138	1.0
b1[1,12]	12.6	0.149	6.99	2.52	11.4	27.9	2189.0	0.253	1.0
b1[2,12]	13.7	0.143	6.86	3.17	13.1	28.6	2288.0	0.265	1.0
b1[1,13]	8.15	0.16	5.94	1.5	6.37	22.6	1386.0	0.16	1.0
b1[2,13]	7.52	0.167	6.33	0.565	5.63	22.7	1443.0	0.167	1.0
b1[1,14]	18.0	0.208	7.51	4.54	17.6	33.6	1303.0	0.151	1.01
b1[2,14]	21.0	0.123	6.73	9.34	20.3	35.5	2987.0	0.346	1.0
b1[1,15]	12.4	0.273	8.73	-0.508	11.8	30.0	1023.0	0.118	1.0
b1[2,15]	14.5	0.231	7.95	2.03	14.0	30.8	1187.0	0.137	1.0
b1[1,16]	15.8	0.109	5.51	6.94	15.1	27.9	2556.0	0.296	1.0
b1[2,16]	15.6	0.118	5.58	7.27	14.8	27.6	2222.0	0.257	1.0
b1[1,17]	10.0	0.145	6.1	2.02	8.59	24.7	1773.0	0.205	1.0
b1[2,17]	10.9	0.142	6.13	2.63	9.61	25.2	1863.0	0.216	1.0
b1[1,18]	17.9	0.251	6.21	8.01	17.1	31.5	610.0	0.0706	1.01
b1[2,18]	11.7	0.754	9.98	0.279	9.86	31.4	175.0	0.0203	1.04
b1[1,19]	11.2	0.183	6.0	2.72	10.1	25.5	1079.0	0.125	1.01
b1[2,19]	14.7	0.125	5.73	5.92	13.9	28.0	2106.0	0.244	1.0
b1[1,20]	19.7	0.106	5.58	10.3	19.0	31.6	2779.0	0.322	1.0
b1[2,20]	19.7	0.109	5.89	9.62	19.1	32.0	2930.0	0.339	1.0
b1[1,21]	13.2	0.13	6.37	3.16	12.4	27.1	2398.0	0.278	1.0
b1[2,21]	14.7	0.129	6.37	4.94	13.7	28.7	2446.0	0.283	1.0
b1[1,22]	8.12	0.151	5.14	1.57	6.85	20.6	1153.0	0.133	1.0
b1[2,22]	11.3	0.113	4.8	4.59	10.4	23.1	1813.0	0.21	1.0
b1[1,23]	19.4	0.0994	5.53	10.1	18.8	31.3	3095.0	0.358	1.0
b1[2,23]	20.2	0.101	5.85	10.3	19.6	33.0	3377.0	0.391	1.0
b1[1,24]	15.6	0.151	6.77	4.33	15.0	29.7	2014.0	0.233	1.0
b1[2,24]	17.4	0.126	6.59	6.67	16.6	31.7	2725.0	0.315	1.0
b1[1,25]	7.93	0.239	5.99	0.991	6.14	22.7	626.0	0.0725	1.01
b1[2,25]	12.3	0.128	5.57	4.09	11.4	25.2	1890.0	0.219	1.0
b1[1,26]	16.2	0.11	5.37	7.19	15.6	27.9	2399.0	0.278	1.0
b1[2,26]	17.0	0.106	5.36	8.25	16.3	28.6	2555.0	0.296	1.0
b1[1,27]	12.2	0.124	6.21	2.85	11.1	25.7	2521.0	0.292	1.0
b1[2,27]	12.8	0.134	6.5	2.55	11.8	26.5	2341.0	0.271	1.0
b1[1,28]	10.5	0.149	6.92	-0.0141	9.41	25.6	2155.0	0.249	1.0
b1[2,28]	11.1	0.154	6.69	1.51	9.88	25.8	1880.0	0.218	1.0
b1[1,29]	5.95	0.208	6.21	-0.717	3.85	21.3	895.0	0.104	1.01
b1[2,29]	7.12	0.175	6.06	0.0659	5.29	22.5	1202.0	0.139	1.01
b1[1,30]	5.03	0.132	4.29	0.91	3.58	16.5	1063.0	0.123	1.0
b1[2,30]	7.55	0.118	4.38	2.5	6.35	18.5	1371.0	0.159	1.0
b1[1,31]	15.9	0.233	7.76	2.04	15.9	31.2	1109.0	0.128	1.01
b1[2,31]	18.1	0.133	6.38	7.78	17.3	32.8	2307.0	0.267	1.0
b1[1,32]	11.3	0.202	6.53	1.72	10.3	25.9	1049.0	0.121	1.01
b1[2,32]	14.2	0.139	6.12	4.89	13.3	27.8	1933.0	0.224	1.0
b1[1,33]	19.0	0.108	5.62	9.33	18.3	31.1	2704.0	0.313	1.0
b1[2,33]	18.8	0.144	6.41	7.45	18.3	32.0	1981.0	0.229	1.0
b1[1,34]	15.7	0.11	5.86	6.46	14.8	29.2	2814.0	0.326	1.0
b1[2,34]	15.6	0.123	5.97	6.36	14.7	28.4	2373.0	0.275	1.0
b1[1,35]	19.8	0.12	6.2	9.07	19.1	32.6	2653.0	0.307	1.0
b1[2,35]	17.5	0.227	6.89	5.69	16.8	31.7	922.0	0.107	1.01
b1[1,36]	18.8	0.134	6.14	8.97	18.0	32.3	2089.0	0.242	1.0
b1[2,36]	20.7	0.114	6.18	10.5	19.9	34.1	2916.0	0.337	1.0
b1[1,37]	23.0	0.145	6.53	10.5	22.6	36.2	2025.0	0.234	1.0
b1[2,37]	24.6	0.111	6.26	13.5	24.0	37.7	3180.0	0.368	1.0
b1[1,38]	20.0	0.132	6.49	8.66	19.5	33.3	2433.0	0.282	1.0
b1[2,38]	18.8	0.189	6.83	7.03	18.2	32.7	1309.0	0.152	1.01
b1[1,39]	24.5	0.111	6.27	13.1	23.9	37.6	3167.0	0.367	1.0
b1[2,39]	23.6	0.153	6.55	11.9	23.0	37.4	1830.0	0.212	1.0
b1[1,40]	9.38	0.0687	2.97	5.08	8.87	16.4	1864.0	0.216	1.0
b1[2,40]	8.93	0.146	4.47	3.0	7.86	19.8	939.0	0.109	1.0
b1[1,41]	17.1	0.227	7.76	4.29	16.6	33.0	1167.0	0.135	1.01
b1[2,41]	20.1	0.127	6.74	8.32	19.6	34.0	2811.0	0.325	1.0
b1[1,42]	13.0	0.175	5.19	5.06	12.2	24.5	875.0	0.101	1.0
b1[2,42]	15.7	0.0942	5.02	7.48	15.2	26.7	2845.0	0.329	1.0
b1[1,43]	16.6	0.179	7.68	2.32	16.2	31.9	1832.0	0.212	1.0
b1[2,43]	18.1	0.144	7.21	5.3	17.4	33.5	2498.0	0.289	1.0
b1[1,44]	17.8	0.116	6.81	6.11	17.1	32.2	3442.0	0.398	1.0
b1[2,44]	18.2	0.142	7.61	3.49	18.0	33.0	2852.0	0.33	1.0
b1[1,45]	17.4	0.132	6.06	7.25	16.7	30.3	2093.0	0.242	1.0
b1[2,45]	17.9	0.124	6.09	7.72	17.2	30.7	2401.0	0.278	1.0
b1[1,46]	9.61	0.166	6.4	0.0654	8.39	23.7	1495.0	0.173	1.0
b1[2,46]	11.3	0.146	6.16	2.73	10.0	24.9	1779.0	0.206	1.0
b1[1,47]	7.8	0.156	5.59	1.46	6.17	21.4	1285.0	0.149	1.0
b1[2,47]	11.0	0.144	5.62	3.92	9.6	24.4	1519.0	0.176	1.0
b1[1,48]	10.3	0.157	6.41	0.991	9.21	24.5	1670.0	0.193	1.0
b1[2,48]	10.4	0.169	6.43	1.97	9.06	25.6	1444.0	0.167	1.0
b1[1,49]	11.4	0.268	6.67	2.48	10.0	26.3	617.0	0.0714	1.01
b1[2,49]	15.4	0.142	6.07	6.09	14.6	28.5	1831.0	0.212	1.0
b1[1,50]	6.0	0.149	5.14	0.99	4.15	19.3	1191.0	0.138	1.0
b1[2,50]	4.56	0.16	5.45	-0.711	2.54	19.3	1158.0	0.134	1.01
b1[1,51]	14.4	0.157	6.31	4.61	13.7	27.6	1609.0	0.186	1.0
b1[2,51]	13.8	0.166	6.98	3.75	12.7	28.7	1776.0	0.206	1.0
b1[1,52]	17.7	0.11	5.59	8.69	16.9	29.8	2570.0	0.298	1.0
b1[2,52]	17.0	0.104	5.5	8.26	16.2	29.1	2786.0	0.322	1.0
b1[1,53]	3.7	0.187	6.65	-6.19	1.9	20.2	1264.0	0.146	1.01
b1[2,53]	5.29	0.171	6.31	-3.53	3.47	21.0	1365.0	0.158	1.0
b1[1,54]	10.9	0.136	5.91	2.72	9.6	24.8	1882.0	0.218	1.0
b1[2,54]	9.51	0.19	6.56	0.724	8.27	24.2	1190.0	0.138	1.0
b1[1,55]	25.7	0.126	6.36	13.8	25.2	39.1	2537.0	0.294	1.0
b1[2,55]	25.6	0.119	6.34	14.6	24.9	39.0	2849.0	0.33	1.0
b1[1,56]	17.0	0.136	6.66	6.4	16.0	31.6	2402.0	0.278	1.0
b1[2,56]	16.2	0.205	7.9	3.57	15.6	33.0	1491.0	0.173	1.0
b1[1,57]	5.05	0.356	7.28	-4.84	2.98	21.7	419.0	0.0485	1.01
b1[2,57]	9.59	0.165	6.15	1.3	8.28	23.6	1388.0	0.161	1.0
b1[1,58]	6.48	0.654	8.55	-2.51	2.34	26.1	171.0	0.0198	1.03
b1[2,58]	13.8	0.225	5.95	5.39	12.5	27.4	702.0	0.0812	1.01
b1[1,59]	14.1	0.105	6.2	3.58	13.5	27.3	3486.0	0.404	1.0
b1[2,59]	13.2	0.14	6.66	2.43	12.4	27.5	2256.0	0.261	1.0
b1[1,60]	26.5	0.122	6.12	15.3	26.1	39.1	2510.0	0.29	1.0
b1[2,60]	27.8	0.11	6.26	16.4	27.3	40.9	3252.0	0.376	1.0
b1[1,61]	10.5	0.0759	3.53	5.06	9.95	18.4	2166.0	0.251	1.0
b1[2,61]	11.7	0.0684	3.61	6.04	11.1	19.7	2779.0	0.322	1.0
b1[1,62]	10.6	0.151	6.56	1.04	9.55	24.9	1895.0	0.219	1.0
b1[2,62]	11.8	0.137	6.57	1.53	10.9	25.9	2296.0	0.266	1.0
b1[1,63]	10.1	0.219	6.51	1.52	8.67	24.8	887.0	0.103	1.01
b1[2,63]	13.1	0.139	6.07	3.82	12.1	26.2	1896.0	0.219	1.0
b1[1,64]	10.2	0.221	6.77	0.55	8.9	25.3	942.0	0.109	1.0
b1[2,64]	13.2	0.155	6.22	4.04	12.1	27.1	1598.0	0.185	1.0
b1[1,65]	17.3	0.168	6.42	6.81	16.5	31.3	1460.0	0.169	1.01
b1[2,65]	19.8	0.124	6.19	9.06	19.2	32.7	2479.0	0.287	1.0
b1[1,66]	17.7	0.112	5.97	7.44	17.1	30.0	2850.0	0.33	1.0
b1[2,66]	18.7	0.106	5.82	8.82	18.2	31.0	3036.0	0.351	1.0
b1[1,67]	14.3	0.181	6.23	5.73	13.0	28.3	1180.0	0.137	1.0
b1[2,67]	16.7	0.162	6.16	6.86	15.8	29.9	1444.0	0.167	1.0
b1[1,68]	16.9	0.298	6.64	6.45	16.0	31.3	497.0	0.0575	1.01
b1[2,68]	21.0	0.109	5.94	10.8	20.4	33.5	2981.0	0.345	1.0
b1[1,69]	23.5	0.138	6.58	12.2	22.9	36.9	2282.0	0.264	1.0
b1[2,69]	24.5	0.127	6.36	13.0	23.8	37.8	2526.0	0.292	1.0
b1[1,70]	17.0	0.183	6.53	6.44	16.1	31.3	1269.0	0.147	1.01
b1[2,70]	19.9	0.112	5.89	10.3	19.2	32.7	2747.0	0.318	1.0
b1[1,71]	12.2	0.144	6.16	3.66	11.0	26.5	1832.0	0.212	1.0
b1[2,71]	9.81	0.211	6.76	1.63	8.14	25.6	1025.0	0.119	1.01
b1[1,72]	23.6	0.129	6.06	12.5	23.3	35.9	2217.0	0.257	1.0
b1[2,72]	24.6	0.115	6.23	13.4	24.0	37.7	2948.0	0.341	1.0
