	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	20.67	0.035	1.802	17.235	20.565	24.302	2721.907	0.165	1.0
a1_mu	0.096	0.0	0.01	0.075	0.096	0.114	2790.097	0.169	1.0
sigma[1]	1.18	0.0027	0.141	0.924	1.17	1.47	2732.0	0.166	1.0
sigma[2]	0.337	0.00182	0.0623	0.219	0.334	0.466	1179.0	0.0716	1.0
b1[1]	30.3	0.118	7.4	18.2	29.5	46.3	3898.0	0.237	1.0
b1[2]	14.7	0.0933	5.29	8.15	13.5	27.8	3213.0	0.195	1.0
b1[3]	6.46	0.123	5.91	1.44	4.33	22.7	2319.0	0.141	1.0
b1[4]	22.7	0.102	6.71	12.7	21.6	37.6	4338.0	0.263	1.0
b1[5]	36.9	0.138	8.37	22.6	36.0	54.8	3687.0	0.224	1.0
b1[6]	19.8	0.0611	3.84	13.6	19.3	28.2	3952.0	0.24	1.0
b1[7]	9.87	0.0577	3.38	5.87	9.01	18.3	3441.0	0.209	1.0
b1[8]	31.2	0.119	7.33	19.5	30.4	47.1	3819.0	0.232	1.0
b1[9]	18.8	0.1	6.51	9.83	17.5	33.6	4228.0	0.257	1.0
b1[10]	3.67	0.011	0.621	2.63	3.61	4.96	3167.0	0.192	1.0
b1[11]	27.2	0.121	7.66	14.9	26.2	44.3	4001.0	0.243	1.0
b1[12]	6.52	0.131	5.79	1.55	4.48	22.6	1956.0	0.119	1.0
b1[13]	32.0	0.12	7.78	19.0	31.3	48.2	4219.0	0.256	1.0
b1[14]	16.5	0.135	7.39	6.7	14.7	33.4	2981.0	0.181	1.0
b1[15]	21.3	0.087	5.37	13.2	20.5	33.5	3817.0	0.232	1.0
b1[16]	30.0	0.111	7.29	18.0	29.1	45.9	4308.0	0.262	1.0
b1[17]	26.8	0.11	7.24	15.7	25.7	42.8	4318.0	0.262	1.0
b1[18]	25.0	0.106	7.0	14.3	23.9	40.6	4340.0	0.264	1.0
b1[19]	27.2	0.111	7.1	16.1	26.2	43.3	4108.0	0.249	1.0
b1[20]	24.8	0.112	7.38	13.1	23.9	41.1	4340.0	0.264	1.0
b1[21]	36.7	0.124	7.96	22.8	35.9	53.2	4094.0	0.249	1.0
b1[22]	21.1	0.118	7.22	10.4	19.7	37.3	3765.0	0.229	1.0
b1[23]	17.6	0.0714	4.44	11.3	16.7	28.0	3862.0	0.235	1.0
b1[24]	14.4	0.0571	3.48	9.47	13.7	22.5	3726.0	0.226	1.0
b1[25]	24.7	0.0896	5.76	15.5	24.0	36.9	4141.0	0.251	1.0
b1[26]	27.9	0.118	7.57	15.7	27.0	44.3	4110.0	0.25	1.0
b1[27]	33.3	0.13	8.11	19.7	32.3	50.5	3922.0	0.238	1.0
b1[28]	1.21	0.0666	2.31	-0.235	0.759	5.37	1200.0	0.0729	1.0
b1[29]	34.3	0.127	7.96	20.5	33.5	51.2	3924.0	0.238	1.0
b1[30]	20.4	0.0855	5.52	12.3	19.4	33.0	4167.0	0.253	1.0
b1[31]	17.6	0.0513	3.29	12.4	17.1	25.1	4106.0	0.249	1.0
b1[32]	15.5	0.0565	3.56	10.5	14.8	24.0	3980.0	0.242	1.0
b1[33]	5.36	0.0932	4.76	1.81	3.74	18.4	2605.0	0.158	1.0
b1[34]	28.0	0.119	7.73	15.4	27.0	44.5	4198.0	0.255	1.0
b1[35]	18.4	0.135	7.35	7.93	17.0	35.5	2950.0	0.179	1.0
b1[36]	0.196	0.094	2.44	-1.8	-0.0236	2.16	674.0	0.041	1.0
b1[37]	24.6	0.0808	5.29	16.3	23.9	36.1	4288.0	0.26	1.0
b1[38]	20.5	0.0665	3.96	13.9	20.0	29.1	3549.0	0.216	1.0
b1[39]	30.3	0.121	7.81	17.4	29.4	46.8	4200.0	0.255	1.0
b1[40]	37.1	0.14	8.16	23.0	36.3	54.3	3408.0	0.207	1.0
b1[41]	15.3	0.0782	4.8	8.7	14.3	26.8	3757.0	0.228	1.0
b1[42]	24.0	0.109	6.53	14.0	23.0	38.9	3609.0	0.219	1.0
b1[43]	26.1	0.106	6.95	14.8	25.2	41.4	4323.0	0.263	1.0
b1[44]	12.5	0.0452	2.7	8.57	12.0	18.7	3562.0	0.216	1.0
b1[45]	9.41	0.058	3.1	5.84	8.67	17.1	2851.0	0.173	1.0
b1[46]	0.413	0.0805	2.42	-1.67	0.196	2.37	906.0	0.055	1.0
b1[47]	22.7	0.0683	4.51	15.5	22.1	32.7	4356.0	0.265	1.0
b1[48]	29.4	0.115	7.59	16.9	28.5	46.3	4315.0	0.262	1.0
b1[49]	21.0	0.0989	6.46	11.7	19.8	35.8	4272.0	0.259	1.0
b1[50]	1.92	0.0726	2.57	0.495	1.35	6.48	1253.0	0.0761	1.01
b1[51]	7.72	0.0909	4.87	3.27	6.08	21.1	2873.0	0.174	1.0
b1[52]	29.7	0.116	7.66	17.2	28.8	46.2	4372.0	0.266	1.0
b1[53]	28.1	0.107	7.18	16.3	27.2	43.6	4541.0	0.276	1.0
