name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_c_pr[4,27]	0.755	0.00712	0.693	-0.632	0.743	2.05	9466.0	2.89	0.999
theta_c_pr[4,28]	0.439	0.0108	1.01	-1.66	0.438	2.34	8725.0	2.66	1.0
theta_c_pr[4,29]	0.412	0.00698	0.627	-0.921	0.415	1.53	8064.0	2.46	1.0
theta_c_pr[4,30]	0.448	0.00871	0.627	-0.81	0.445	1.62	5179.0	1.58	1.0
theta_c_pr[4,31]	-0.183	0.00724	0.547	-1.35	-0.173	0.811	5701.0	1.74	1.0
theta_c_pr[4,32]	1.2	0.00868	0.683	-0.313	1.22	2.45	6182.0	1.89	0.999
theta_c_pr[4,33]	0.824	0.0101	0.812	-0.843	0.836	2.35	6488.0	1.98	1.0
theta_c_pr[4,34]	-0.143	0.0072	0.597	-1.33	-0.143	0.997	6862.0	2.1	1.0
theta_c_pr[4,35]	-1.15	0.00939	0.6	-2.38	-1.16	0.0042	4088.0	1.25	1.0
theta_c_pr[4,36]	-0.219	0.0109	1.02	-2.28	-0.236	1.7	8719.0	2.66	0.999
theta_c_pr[4,37]	0.85	0.0072	0.65	-0.508	0.855	2.07	8147.0	2.49	1.0
theta_c_pr[4,38]	0.0478	0.00626	0.541	-1.09	0.0558	1.05	7469.0	2.28	0.999
theta_c_pr[4,39]	-0.00432	0.00758	0.61	-1.24	-0.0208	1.17	6478.0	1.98	1.0
theta_c_pr[4,40]	0.242	0.00682	0.605	-1.02	0.259	1.32	7884.0	2.41	1.0
theta_c_pr[4,41]	0.207	0.00829	0.623	-1.09	0.221	1.35	5644.0	1.72	1.0
theta_c_pr[4,42]	0.0445	0.00684	0.564	-1.13	0.0434	1.09	6792.0	2.07	1.0
theta_c_pr[4,43]	0.21	0.00707	0.651	-1.14	0.213	1.42	8480.0	2.59	1.0
theta_c_pr[4,44]	0.756	0.00719	0.581	-0.476	0.746	1.87	6537.0	2.0	0.999
theta_c_pr[4,45]	0.219	0.00876	0.658	-1.09	0.203	1.49	5653.0	1.73	1.0
theta_c_pr[4,46]	-0.26	0.0113	0.948	-2.2	-0.273	1.54	7083.0	2.16	1.0
theta_c_pr[4,47]	-0.177	0.0104	0.754	-1.66	-0.192	1.22	5249.0	1.6	0.999
theta_c_pr[4,48]	0.0572	0.00689	0.595	-1.18	0.06	1.14	7456.0	2.28	1.0
theta_c_pr[4,49]	-0.842	0.00887	0.624	-2.08	-0.85	0.334	4944.0	1.51	0.999
theta_c_pr[4,50]	-0.642	0.0117	1.01	-2.58	-0.691	1.41	7411.0	2.26	1.0
theta_c_pr[4,51]	0.287	0.00873	0.685	-1.1	0.277	1.58	6155.0	1.88	1.0
theta_c_pr[4,52]	0.0769	0.00663	0.567	-1.05	0.0627	1.18	7295.0	2.23	1.0
theta_c_pr[4,53]	0.325	0.00716	0.61	-0.935	0.316	1.5	7249.0	2.21	1.0
theta_c_pr[4,54]	0.04	0.00711	0.605	-1.17	0.0207	1.23	7229.0	2.21	1.0
theta_c_pr[4,55]	0.277	0.00662	0.59	-0.911	0.258	1.41	7943.0	2.43	1.0
theta_c_pr[4,56]	-0.551	0.00961	0.623	-1.83	-0.553	0.615	4209.0	1.29	1.0
theta_c_pr[4,57]	0.684	0.00728	0.688	-0.746	0.69	1.97	8914.0	2.72	1.0
theta_c_pr[4,58]	-1.59	0.00859	0.683	-2.96	-1.61	-0.269	6332.0	1.93	1.0
theta_c_pr[4,59]	0.351	0.00634	0.553	-0.791	0.362	1.35	7612.0	2.32	1.0
theta_c_pr[4,60]	-0.751	0.00672	0.543	-1.89	-0.745	0.285	6512.0	1.99	1.0
theta_c_pr[4,61]	-2.19	0.0107	0.826	-3.73	-2.27	-0.411	5974.0	1.82	1.0
theta_c_pr[4,62]	-0.978	0.0084	0.616	-2.17	-1.01	0.249	5379.0	1.64	0.999
theta_c_pr[4,63]	0.544	0.0275	1.52	-2.22	0.46	3.33	3048.0	0.931	1.0
