	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b4[1,18]	0.447	0.00579	0.398	-0.379	0.449	1.2	4720.0	0.376	1.0
b4[2,18]	0.561	0.00615	0.428	-0.312	0.563	1.39	4844.0	0.386	0.999
b4[1,19]	0.571	0.00705	0.477	-0.371	0.565	1.48	4583.0	0.365	1.0
b4[2,19]	0.768	0.00707	0.48	-0.186	0.77	1.67	4618.0	0.368	1.0
b4[1,20]	0.102	0.0062	0.432	-0.808	0.0993	0.921	4844.0	0.386	1.0
b4[2,20]	0.264	0.00623	0.444	-0.679	0.264	1.09	5082.0	0.405	1.0
b4[1,21]	0.0123	0.00537	0.355	-0.727	0.0137	0.672	4352.0	0.346	1.0
b4[2,21]	0.325	0.00605	0.394	-0.453	0.319	1.09	4240.0	0.338	1.0
b4[1,22]	-0.28	0.00743	0.517	-1.43	-0.26	0.626	4844.0	0.386	0.999
b4[2,22]	-0.22	0.00761	0.52	-1.34	-0.202	0.72	4669.0	0.372	0.999
b4[1,23]	0.257	0.00487	0.312	-0.365	0.249	0.864	4123.0	0.328	1.0
b4[2,23]	-0.00276	0.0055	0.35	-0.749	0.00927	0.639	4064.0	0.324	1.0
b4[1,24]	-0.0596	0.00617	0.408	-0.935	-0.0574	0.71	4361.0	0.347	1.0
b4[2,24]	0.116	0.00667	0.439	-0.782	0.114	0.955	4337.0	0.345	1.0
b4[1,25]	0.551	0.00712	0.489	-0.426	0.553	1.49	4720.0	0.376	1.0
b4[2,25]	0.54	0.00685	0.483	-0.461	0.54	1.47	4968.0	0.396	1.0
b4[1,26]	-0.116	0.00631	0.438	-1.04	-0.115	0.71	4806.0	0.383	1.0
b4[2,26]	-0.0558	0.00639	0.433	-0.977	-0.0549	0.75	4600.0	0.366	1.0
b4[1,27]	0.728	0.00776	0.509	-0.286	0.708	1.71	4300.0	0.342	1.0
b4[2,27]	0.81	0.00776	0.516	-0.192	0.787	1.81	4422.0	0.352	1.0
b4[1,28]	-0.122	0.00357	0.231	-0.618	-0.121	0.301	4192.0	0.334	1.0
b4[2,28]	-0.0902	0.00397	0.27	-0.665	-0.0842	0.408	4618.0	0.368	1.0
b4[1,29]	0.192	0.00622	0.414	-0.66	0.192	0.971	4425.0	0.352	1.0
b4[2,29]	0.268	0.00656	0.44	-0.631	0.267	1.13	4505.0	0.359	1.0
b4[1,30]	0.051	0.00725	0.468	-0.905	0.0562	0.949	4173.0	0.332	1.0
b4[2,30]	-0.0739	0.00728	0.474	-1.06	-0.0709	0.81	4242.0	0.338	1.0
b4[1,31]	0.636	0.00615	0.424	-0.179	0.627	1.46	4739.0	0.377	1.0
b4[2,31]	0.69	0.00631	0.427	-0.142	0.683	1.52	4575.0	0.364	1.0
b4[1,32]	1.11	0.00651	0.431	0.307	1.09	1.98	4379.0	0.349	1.0
b4[2,32]	1.11	0.00657	0.454	0.235	1.09	2.0	4789.0	0.381	1.0
b4[1,33]	0.214	0.00551	0.371	-0.554	0.213	0.911	4541.0	0.361	1.0
b4[2,33]	0.419	0.00602	0.41	-0.381	0.413	1.21	4631.0	0.369	1.0
b4[1,34]	-0.354	0.00352	0.231	-0.835	-0.354	0.0763	4299.0	0.342	1.0
b4[2,34]	-0.42	0.00365	0.247	-0.945	-0.415	0.034	4577.0	0.364	1.0
b4[1,35]	0.363	0.00668	0.447	-0.532	0.368	1.19	4484.0	0.357	1.0
b4[2,35]	0.354	0.00668	0.452	-0.564	0.349	1.2	4585.0	0.365	1.0
b4[1,36]	-0.175	0.00384	0.257	-0.701	-0.178	0.315	4495.0	0.358	0.999
b4[2,36]	-0.282	0.00426	0.294	-0.899	-0.277	0.258	4756.0	0.379	0.999
b4[1,37]	0.196	0.0063	0.433	-0.703	0.202	1.0	4727.0	0.376	1.0
b4[2,37]	0.4	0.00665	0.451	-0.517	0.395	1.27	4610.0	0.367	1.0
b4[1,38]	1.13	0.00708	0.456	0.256	1.11	2.04	4147.0	0.33	1.0
b4[2,38]	1.23	0.00725	0.471	0.289	1.22	2.13	4233.0	0.337	1.0
b4[1,39]	0.752	0.00692	0.46	-0.163	0.741	1.64	4413.0	0.351	1.0
b4[2,39]	0.79	0.00706	0.476	-0.169	0.775	1.71	4553.0	0.362	1.0
b4[1,40]	0.64	0.0059	0.393	-0.152	0.632	1.39	4433.0	0.353	1.0
b4[2,40]	0.64	0.00623	0.423	-0.226	0.641	1.45	4611.0	0.367	1.0
b4[1,41]	0.145	0.0055	0.368	-0.642	0.145	0.842	4468.0	0.356	1.0
b4[2,41]	0.24	0.00541	0.359	-0.498	0.239	0.924	4392.0	0.35	1.0
b4[1,42]	-0.394	0.00625	0.438	-1.33	-0.385	0.406	4910.0	0.391	1.0
b4[2,42]	-0.429	0.00659	0.438	-1.36	-0.414	0.366	4407.0	0.351	1.0
b4[1,43]	-0.267	0.0051	0.336	-0.998	-0.262	0.356	4343.0	0.346	1.0
b4[2,43]	0.066	0.00599	0.39	-0.708	0.0564	0.841	4228.0	0.337	1.0
b4[1,44]	1.09	0.00646	0.408	0.243	1.1	1.87	3988.0	0.317	1.0
b4[2,44]	1.54	0.00514	0.325	0.918	1.52	2.19	3980.0	0.317	1.0
b4[1,45]	-0.598	0.005	0.335	-1.32	-0.586	0.00483	4491.0	0.358	1.0
b4[2,45]	-0.338	0.00555	0.366	-1.12	-0.34	0.354	4350.0	0.346	1.0
b4[1,46]	0.0821	0.00385	0.264	-0.487	0.0847	0.58	4693.0	0.374	1.0
b4[2,46]	0.237	0.00363	0.236	-0.24	0.233	0.678	4231.0	0.337	1.0
b4[1,47]	0.403	0.00667	0.459	-0.526	0.408	1.28	4743.0	0.378	1.0
b4[2,47]	0.394	0.00684	0.463	-0.549	0.398	1.28	4575.0	0.364	1.0
b4[1,48]	0.29	0.00607	0.415	-0.524	0.282	1.09	4682.0	0.373	0.999
b4[2,48]	0.298	0.00644	0.436	-0.598	0.298	1.14	4585.0	0.365	0.999
b4[1,49]	0.482	0.00622	0.415	-0.357	0.472	1.27	4456.0	0.355	1.0
b4[2,49]	0.583	0.00647	0.444	-0.311	0.578	1.44	4718.0	0.376	1.0
b4[1,50]	0.465	0.00353	0.232	2.19e-05	0.461	0.896	4332.0	0.345	1.0
b4[2,50]	0.759	0.0035	0.234	0.291	0.757	1.21	4470.0	0.356	1.0
b4[1,51]	0.734	0.00476	0.299	0.142	0.727	1.32	3943.0	0.314	1.0
b4[2,51]	0.468	0.00394	0.254	-0.0532	0.468	0.942	4147.0	0.33	1.0
b4[1,52]	0.0743	0.00612	0.415	-0.795	0.0731	0.856	4601.0	0.366	1.0
b4[2,52]	-0.0574	0.00617	0.434	-0.981	-0.0553	0.733	4958.0	0.395	1.0
b4[1,53]	0.54	0.00632	0.436	-0.323	0.535	1.38	4771.0	0.38	1.0
b4[2,53]	0.634	0.0066	0.451	-0.273	0.628	1.52	4678.0	0.372	1.0
b4[1,54]	0.732	0.00748	0.499	-0.274	0.728	1.69	4461.0	0.355	1.0
b4[2,54]	0.807	0.00741	0.501	-0.204	0.796	1.78	4576.0	0.364	1.0
b4[1,55]	0.612	0.00702	0.484	-0.372	0.608	1.53	4754.0	0.378	1.0
b4[2,55]	0.683	0.00699	0.504	-0.327	0.673	1.67	5198.0	0.414	1.0
b4[1,56]	0.376	0.00564	0.384	-0.407	0.378	1.12	4655.0	0.371	1.0
b4[2,56]	0.428	0.00578	0.38	-0.346	0.422	1.15	4329.0	0.345	1.0
b4[1,57]	0.533	0.0068	0.459	-0.381	0.517	1.41	4543.0	0.362	1.0
b4[2,57]	0.616	0.00691	0.472	-0.341	0.607	1.51	4669.0	0.372	1.0
b4[1,58]	-0.386	0.00555	0.373	-1.19	-0.378	0.299	4521.0	0.36	1.0
b4[2,58]	-0.174	0.00597	0.411	-1.02	-0.17	0.582	4739.0	0.377	1.0
b4[1,59]	0.458	0.00676	0.449	-0.454	0.457	1.31	4416.0	0.352	1.0
b4[2,59]	0.461	0.00679	0.454	-0.454	0.462	1.32	4470.0	0.356	1.0
b4[1,60]	0.921	0.00723	0.477	-0.0267	0.92	1.86	4362.0	0.347	1.0
b4[2,60]	0.996	0.00748	0.485	0.0138	0.989	1.94	4200.0	0.334	1.0
b4[1,61]	-0.612	0.00393	0.248	-1.14	-0.613	-0.161	3965.0	0.316	1.0
b4[2,61]	-0.641	0.00453	0.309	-1.28	-0.635	-0.0845	4639.0	0.369	1.0
b4[1,62]	0.504	0.00645	0.437	-0.385	0.496	1.37	4574.0	0.364	1.0
b4[2,62]	0.531	0.00667	0.455	-0.414	0.521	1.41	4656.0	0.371	1.0
b4[1,63]	0.134	0.0049	0.337	-0.572	0.132	0.76	4726.0	0.376	1.0
b4[2,63]	0.385	0.00456	0.315	-0.23	0.377	1.0	4788.0	0.381	1.0
b4[1,64]	0.779	0.006	0.376	0.0404	0.767	1.52	3931.0	0.313	1.0
b4[2,64]	0.669	0.0064	0.406	-0.161	0.667	1.42	4025.0	0.32	1.0
b4[1,65]	-0.334	0.00518	0.345	-1.08	-0.324	0.293	4416.0	0.352	1.0
b4[2,65]	-0.195	0.0055	0.375	-0.979	-0.2	0.509	4638.0	0.369	1.0
b4[1,66]	0.696	0.00766	0.51	-0.309	0.68	1.69	4446.0	0.354	1.0
b4[2,66]	0.77	0.0078	0.515	-0.266	0.757	1.77	4360.0	0.347	1.0
b4[1,67]	0.673	0.00775	0.505	-0.341	0.667	1.64	4237.0	0.337	1.0
b4[2,67]	0.749	0.00777	0.505	-0.28	0.742	1.74	4226.0	0.336	1.0
b4[1,68]	-0.282	0.00667	0.458	-1.28	-0.264	0.547	4720.0	0.376	1.0
b4[2,68]	-0.0282	0.00679	0.475	-1.03	-0.032	0.873	4908.0	0.391	1.0
b4[1,69]	0.773	0.00679	0.469	-0.172	0.766	1.68	4782.0	0.381	1.0
b4[2,69]	0.836	0.00688	0.474	-0.119	0.824	1.75	4744.0	0.378	1.0
b4[1,70]	0.218	0.00526	0.351	-0.472	0.213	0.906	4443.0	0.354	1.0
b4[2,70]	0.269	0.00554	0.377	-0.475	0.264	0.986	4625.0	0.368	1.0
b4[1,71]	-0.112	0.00544	0.372	-0.884	-0.105	0.583	4683.0	0.373	1.0
b4[2,71]	-0.0153	0.00571	0.378	-0.811	-0.0134	0.699	4378.0	0.349	1.0
b4[1,72]	0.719	0.00669	0.453	-0.161	0.707	1.6	4582.0	0.365	1.0
b4[2,72]	0.758	0.00697	0.471	-0.193	0.743	1.67	4579.0	0.365	1.0
b4[1,73]	0.213	0.00603	0.415	-0.649	0.211	0.999	4721.0	0.376	0.999
b4[2,73]	0.301	0.00631	0.43	-0.578	0.301	1.11	4651.0	0.37	1.0
b4[1,74]	0.492	0.00647	0.448	-0.43	0.499	1.35	4810.0	0.383	1.0
b4[2,74]	0.523	0.00663	0.464	-0.425	0.528	1.38	4890.0	0.389	1.0
b4[1,75]	-0.0637	0.00365	0.232	-0.531	-0.0661	0.374	4014.0	0.32	1.0
b4[2,75]	-0.157	0.00354	0.228	-0.626	-0.157	0.268	4148.0	0.33	1.0
b4[1,76]	0.814	0.00669	0.449	-0.0615	0.791	1.72	4491.0	0.358	0.999
b4[2,76]	0.766	0.0066	0.449	-0.115	0.752	1.66	4640.0	0.369	1.0
b4[1,77]	0.948	0.00719	0.479	0.0121	0.934	1.87	4448.0	0.354	1.0
b4[2,77]	0.967	0.00722	0.483	0.0283	0.957	1.9	4483.0	0.357	1.0
b4[1,78]	-0.234	0.00476	0.309	-0.866	-0.225	0.344	4214.0	0.335	1.0
b4[2,78]	0.0067	0.00527	0.336	-0.685	0.00384	0.653	4071.0	0.324	1.0
b4[1,79]	-0.463	0.00629	0.425	-1.37	-0.452	0.316	4578.0	0.364	1.0
b4[2,79]	-0.269	0.00657	0.435	-1.19	-0.267	0.558	4375.0	0.348	0.999
b4[1,80]	1.01	0.0077	0.483	0.0556	0.997	1.96	3941.0	0.314	1.0
b4[2,80]	1.03	0.00771	0.496	0.02	1.02	1.98	4143.0	0.33	1.0
b4[1,81]	0.527	0.00641	0.416	-0.308	0.523	1.33	4210.0	0.335	0.999
b4[2,81]	0.629	0.00655	0.433	-0.242	0.615	1.48	4366.0	0.348	1.0
b4[1,82]	0.2	0.00569	0.38	-0.585	0.199	0.94	4459.0	0.355	1.0
b4[2,82]	0.0619	0.00625	0.413	-0.81	0.0624	0.834	4373.0	0.348	1.0
b4[1,83]	0.277	0.00583	0.385	-0.5	0.27	1.03	4363.0	0.347	1.0
b4[2,83]	0.138	0.00603	0.416	-0.741	0.14	0.914	4771.0	0.38	1.0
b4[1,84]	0.17	0.00454	0.291	-0.423	0.168	0.711	4102.0	0.327	1.0
b4[2,84]	0.559	0.00519	0.325	-0.0893	0.545	1.21	3906.0	0.311	1.0
b4[1,85]	0.452	0.00447	0.289	-0.127	0.447	1.01	4180.0	0.333	1.0
b4[2,85]	0.372	0.00499	0.343	-0.368	0.369	1.02	4713.0	0.375	1.0
b4[1,86]	0.235	0.00695	0.454	-0.684	0.228	1.09	4272.0	0.34	1.0
b4[2,86]	0.26	0.00679	0.455	-0.676	0.26	1.14	4484.0	0.357	1.0
b4[1,87]	0.335	0.00344	0.219	-0.108	0.335	0.752	4048.0	0.322	1.0
b4[2,87]	0.242	0.00338	0.223	-0.225	0.247	0.643	4374.0	0.348	0.999
b4[1,88]	0.643	0.00647	0.449	-0.274	0.64	1.51	4806.0	0.383	1.0
b4[2,88]	0.449	0.00629	0.448	-0.477	0.453	1.28	5062.0	0.403	1.0
b4[1,89]	0.58	0.00532	0.363	-0.133	0.567	1.3	4655.0	0.371	1.0
b4[2,89]	0.421	0.00567	0.38	-0.365	0.416	1.14	4495.0	0.358	0.999
b4[1,90]	0.196	0.00516	0.353	-0.524	0.195	0.864	4689.0	0.373	1.0
b4[2,90]	0.386	0.00519	0.356	-0.327	0.377	1.07	4688.0	0.373	1.0
b4[1,91]	1.05	0.00634	0.417	0.225	1.03	1.88	4317.0	0.344	1.0
b4[2,91]	1.1	0.00672	0.449	0.21	1.08	1.97	4461.0	0.355	1.0
b4[1,92]	-0.254	0.00597	0.381	-1.06	-0.244	0.453	4085.0	0.325	1.0
b4[2,92]	-0.189	0.00628	0.411	-1.04	-0.188	0.595	4278.0	0.341	1.0
b4[1,93]	0.255	0.00363	0.243	-0.249	0.25	0.717	4463.0	0.355	1.0
b4[2,93]	0.35	0.00359	0.229	-0.121	0.351	0.789	4063.0	0.323	1.0
a1[1,1]	0.124	0.000723	0.0458	0.0523	0.117	0.226	4010.0	0.319	1.0
a1[2,1]	0.189	0.000988	0.0651	0.077	0.183	0.325	4339.0	0.345	1.0
a1[1,2]	0.158	0.000766	0.0513	0.0672	0.152	0.262	4482.0	0.357	1.0
