name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-5610.0	0.854	28.6	-5680.0	-5610.0	-5560.0	1120.0	0.288	1.0
theta_mu[1,1]	2.06	0.00481	0.185	1.7	2.06	2.43	1487.0	0.384	1.0
theta_mu[1,2]	2.33	0.00449	0.184	1.97	2.32	2.68	1688.0	0.436	1.0
theta_mu[2,1]	0.0546	0.000236	0.0154	0.0238	0.0545	0.0842	4248.0	1.1	1.0
theta_mu[2,2]	0.0689	0.000253	0.0167	0.0358	0.0684	0.102	4324.0	1.12	1.0
theta_mu[3,1]	0.154	0.000356	0.0251	0.102	0.154	0.203	4964.0	1.28	1.0
theta_mu[3,2]	0.0973	0.000375	0.026	0.0424	0.0976	0.147	4808.0	1.24	1.0
theta_mu[4,1]	-1.19	0.00106	0.0624	-1.31	-1.19	-1.07	3483.0	0.899	1.0
theta_mu[4,2]	-1.07	0.000847	0.0569	-1.19	-1.07	-0.962	4518.0	1.17	0.999
theta_mu[5,1]	-1.28	0.00111	0.0638	-1.42	-1.28	-1.17	3296.0	0.851	1.0
theta_mu[5,2]	-1.09	0.000997	0.0583	-1.21	-1.09	-0.978	3421.0	0.883	1.0
theta_c_pr[1,1]	0.393	0.00759	0.552	-0.502	0.318	1.59	5291.0	1.37	1.0
theta_c_pr[1,2]	0.0639	0.00489	0.327	-0.532	0.0435	0.735	4475.0	1.16	1.0
theta_c_pr[1,3]	0.45	0.0078	0.57	-0.481	0.381	1.66	5347.0	1.38	1.0
theta_c_pr[1,4]	0.555	0.00761	0.551	-0.357	0.483	1.73	5243.0	1.35	1.0
theta_c_pr[1,5]	-0.127	0.00514	0.314	-0.681	-0.158	0.553	3732.0	0.963	1.0
theta_c_pr[1,6]	-1.15	0.00516	0.187	-1.51	-1.15	-0.789	1316.0	0.34	1.0
theta_c_pr[1,7]	0.334	0.00635	0.443	-0.408	0.278	1.34	4879.0	1.26	1.0
theta_c_pr[1,8]	0.0796	0.00742	0.539	-0.8	0.00664	1.24	5277.0	1.36	1.0
theta_c_pr[1,9]	-1.18	0.00559	0.213	-1.59	-1.19	-0.772	1444.0	0.373	1.0
theta_c_pr[1,10]	0.88	0.00738	0.567	-0.104	0.821	2.08	5908.0	1.53	1.0
theta_c_pr[1,11]	-1.06	0.0054	0.21	-1.46	-1.07	-0.654	1507.0	0.389	1.0
theta_c_pr[1,12]	0.797	0.0071	0.566	-0.183	0.742	2.0	6357.0	1.64	1.0
theta_c_pr[1,13]	-1.27	0.00537	0.185	-1.64	-1.27	-0.91	1190.0	0.307	1.0
theta_c_pr[1,14]	1.05	0.00712	0.61	-0.0255	0.995	2.34	7336.0	1.89	1.0
theta_c_pr[1,15]	0.979	0.00728	0.617	-0.09	0.919	2.23	7181.0	1.85	1.0
theta_c_pr[1,16]	1.06	0.00789	0.609	-0.0367	1.02	2.33	5972.0	1.54	1.0
theta_c_pr[1,17]	0.109	0.00628	0.447	-0.619	0.0513	1.06	5073.0	1.31	1.0
theta_c_pr[1,18]	-0.0385	0.00712	0.443	-0.741	-0.108	0.984	3866.0	0.998	1.0
theta_c_pr[1,19]	1.13	0.00758	0.634	0.0165	1.08	2.46	6995.0	1.81	1.0
